title,description,genres
Whisper of the Heart,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.","Animation, Drama, Family"
Once Were Warriors,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,"Crime, Drama"
Talk to Her,Two men share an odd friendship while they care for two women who are both in deep comas.,"Drama, Mystery, Romance"
Notorious,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,"Drama, Film-Noir, Romance"
Arsenic and Old Lace,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,"Comedy, Crime, Thriller"
Cría Cuervos,"In the twilight of Francisco Franco's dictatorship, an 8-year-old orphan and her two sisters find shelter in the house of their stern aunt and try their best to acclimatize to a new reality. Can they summon up the courage to grow up?",Drama
Strangers on a Train,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,"Crime, Drama, Film-Noir"
A Night to Remember,"On her maiden voyage in April 1912, the supposedly unsinkable RMS Titanic strikes an iceberg in the Atlantic Ocean.","Drama, History"
The Conformist,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Drama
A Taxi Driver,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.","Action, Drama, History"
Cat on a Hot Tin Roof,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Drama
Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.","Comedy, Drama, Musical"
Hiroshima Mon Amour,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,"Drama, Romance"
Head-On,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.","Drama, Romance"
Cléo from 5 to 7,"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.","Comedy, Drama, Music"
3-Iron,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,"Crime, Drama, Romance"
Laura,A police detective falls in love with the woman whose murder he is investigating.,"Drama, Film-Noir, Mystery"
Harvey,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.","Comedy, Drama, Fantasy"
In Cold Blood,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.","Biography, Crime, Drama"
The Thin Man,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.","Comedy, Crime, Mystery"
Mildred Pierce,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,"Crime, Drama, Film-Noir"
The Sacrifice,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",Drama
Amarcord,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,"Comedy, Drama"
Kes,A working-class English boy spends his free time caring for and training his pet kestrel.,"Drama, Family"
Battleship Potemkin,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","Drama, History, Thriller"
Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,"Drama, Music, Romance"
Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Comedy, Drama, Romance"
Le Cercle Rouge,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.","Crime, Drama, Thriller"
Nine Queens,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").","Crime, Drama, Thriller"
In a Lonely Place,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.","Drama, Film-Noir, Mystery"
Kagemusha,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,"Drama, History, War"
Miracle on 34th Street,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.","Comedy, Drama, Family"
"4 Months, 3 Weeks and 2 Days",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,Drama
About Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,"Drama, Mystery"
The Way He Looks,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend, Giovana, and the way he sees the world change completely with the arrival of Gabriel.","Drama, Romance"
The Hill,"In a North African military prison during World War II, five new prisoners struggle to survive in the face of brutal punishment and sadistic guards.","Drama, War"
The Big Heat,Tough cop Dave Bannion takes on a politically powerful crime syndicate.,"Crime, Film-Noir, Thriller"
Mimi,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,"Comedy, Drama"
Lift to the Scaffold,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.","Crime, Drama, Thriller"
Mishima: A Life in Four Chapters,A fictionalized account in four chapters of the life of celebrated Japanese writer Yukio Mishima.,"Biography, Drama"
"Now, Voyager","A frumpy spinster blossoms under therapy and becomes an elegant, independent woman.","Drama, Romance"
La Règle du Jeu,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","Comedy, Drama"
Sullivan's Travels,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,"Adventure, Comedy, Drama"
Auntie Mame,An orphan goes to live with his free-spirited aunt. Conflict ensues when the executor of his father's estate objects to the aunt's lifestyle.,"Comedy, Drama, Romance"
Ugly,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,"Crime, Drama, Mystery"
